word1,word2,word3,count,Cn2,Prob
a,despit,hard,1,1,0.261748575
a,est,interview,1,1,0.261748575
a,icl,shouldn,1,1,0.36724715
a,icl,www,1,1,0.261808225
a,ie,butler,1,1,1.246242875
a,ist,emphasi,1,1,0.2617784
a,ist,esperanza,1,1,0.860090801
a,ist,kind,1,1,0.262017
a,ist,want,1,1,0.4376193
a,ist,work,1,1,0.4376193
a,religion,histori,1,1,0.440422853
a,s,daddi,1,1,0.439289502
a,s,ent,1,1,0.43755965
a,s,race,1,1,0.4379772
a,s,tour,1,1,0.438752651
a,sound,music,1,1,0.26896474
aa,springfield,cardin,1,1,0.269125795
aaron,dad,know,1,1,0.26896474
abbi,one,sibl,1,1,0.441902174
abc,good,morn,1,1,0.26885737
abe,elam,matt,1,1,0.268911055
aber,compani,introduc,1,1,0.269125795
abil,feel,express,1,1,0.270092126
abl,breath,without,1,1,0.270360551
abl,face,fear,1,1,0.877942736
abl,interview,ford,1,1,0.312579533
abl,make,bill,1,1,0.43767895
abl,make,governor,1,1,0.43755965
abl,restor,photo,1,1,0.43779825
abl,roll,fill,1,1,0.34380965
abl,spend,whole,1,1,0.34404825
abl,use,counti,1,1,0.4378579
abl,work,still,1,1,0.438156151
absolut,love,first,1,1,0.314349152
absolut,love,song,1,1,0.31255965
absolut,necessari,issu,1,1,0.31267895
absurd,attempt,bottl,1,1,0.2971136
abund,strang,funni,1,1,0.300096103
abus,st,loui,1,1,0.29693465
academi,booth,enter,1,1,0.298425901
academi,graduat,yeah,1,1,0.345420201
acaus,tomorrow,don,1,1,0.3439886
acceler,high,kinet,1,1,0.43779825
accept,day,moment,1,1,0.2969943
accept,imperfect,fault,1,1,0.2971136
accept,probabl,come,1,1,0.2972329
access,almost,fast,1,1,0.29693465
access,can,lot,1,1,0.29693465
access,inappropri,websit,1,1,0.2973522
access,think,school,1,1,0.298425901
accid,much,doubt,1,1,0.29717325
accid,result,bumper,1,1,0.43767895
accompani,add,attract,1,1,0.43755965
accord,kice,one,1,1,0.43755965
accord,memphi,commerci,1,1,0.438931601
accord,po,author,1,1,0.43755965
accord,size,project,1,1,0.4376193
account,digniti,self,1,1,0.316436903
account,number,bc,1,1,0.31255965
account,say,exampl,1,1,0.31255965
account,sorri,yike,1,1,0.441436903
accus,board,disguis,1,1,0.34380965
achiev,nozzl,effect,1,1,0.34380965
achill,tendon,one,1,1,0.29693465
acknowledg,now,might,1,1,0.297471501
acr,parcel,mcdowel,1,1,0.300454003
across,chest,cover,1,1,0.297650451
act,like,gentleman,1,1,0.43755965
act,savag,barbar,1,1,0.34380965
act,trampl,right,1,1,0.34380965
actin,like,toward,1,1,0.271191234
action,committe,pac,1,1,0.271071934
action,violat,believ,1,1,0.271131584
activ,chloe,invent,1,1,0.270952633
activ,hey,shawti,1,1,0.274770237
activ,said,dwyer,1,1,0.271370184
activ,thought,fli,1,1,0.271310534
actorfest,visist,us,1,1,0.271131584
actress,emma,stone,1,1,0.270952633
actress,rosi,huntington,1,1,0.43755965
actual,clean,post,1,1,0.2877386
actual,favorit,tv,1,1,0.2877386
actual,happen,threaten,1,1,0.2876193
actual,hill,surpris,1,1,0.2877386
actual,like,derek,1,1,0.28755965
actual,pay,readi,1,1,0.34428685
actual,real,laid,1,1,0.345420201
actual,saw,polic,1,1,0.43755965
actual,schedul,june,1,1,0.2876193
acus,ruddi,expens,1,1,0.28755965
ad,creativ,non,1,1,0.288335101
ad,interest,a,1,1,0.28779825
ad,list,plaintiff,1,1,0.2876193
ad,titl,assist,1,1,0.438752651
ad,wood,poppi,1,1,0.3126193
adam,hear,bureau,1,1,0.31279825
adam,much,ben,1,1,0.31267895
adapt,lauri,sharon,1,1,0.344585101
add,attract,finish,1,1,0.34380965
add,depth,flavor,1,1,0.43755965
add,fun,behav,1,1,0.43755965
add,huge,cost,1,1,0.43755965
add,militari,personnel,1,1,0.4376193
addict,also,need,1,1,0.43803685
addit,chanc,win,1,1,0.3439886
addit,fit,precis,1,1,0.34428685
addit,step,boost,1,1,0.4377386
address,never,gave,1,1,0.4377386
address,unfair,work,1,1,0.43803685
adimss,cast,director,1,1,0.28779825
adjac,np,peopl,1,1,0.291436903
administ,credit,tri,1,1,0.291079003
administr,profession,day,1,1,0.288871951
admir,polic,nurs,1,1,0.289289502
admit,basketbal,experi,1,1,0.4377386
admit,didn,know,1,1,0.43755965
adopt,rate,mobil,1,1,0.43767895
ador,boy,make,1,1,0.438156151
adrianna,mother,tausha,1,1,0.438335101
adult,correct,center,1,1,0.4377386
adult,like,fun,1,1,0.4376193
adult,said,intrigu,1,1,0.4378579
adult,want,fun,1,1,0.31279825
adult,work,introduc,1,1,0.31267895
advanc,past,first,1,1,0.313752651
adventur,musesoci,mean,1,1,0.43755965
adversari,notic,thrall,1,1,0.34380965
advic,citi,tax,1,1,0.347329003
affair,live,no,1,1,0.28142895
affarano,smash,outer,1,1,0.28154825
affili,mexico,base,1,1,0.284292153
affluent,area,william,1,1,0.28154825
afford,buy,stuff,1,1,0.2813693
afford,station,inn,1,1,0.28142895
afford,us,everyth,1,1,0.29693465
afrolatino,ky,happi,1,1,0.298783802
afternoon,dk,therefor,1,1,0.2969943
afternoon,said,breath,1,1,0.29705395
age,daughter,player,1,1,0.3441079
age,drink,just,1,1,0.3441079
age,get,heaven,1,1,0.441079003
age,rememb,home,1,1,0.43767895
age,seven,someth,1,1,0.4376193
age,worker,make,1,1,0.29717325
agenc,administ,credit,1,1,0.299141702
agenc,first,assign,1,1,0.29705395
agenc,previous,year,1,1,0.2972329
agenc,regul,doctor,1,1,0.43755965
agent,lost,vs,1,1,0.43791755
agent,sign,salari,1,1,0.43767895
aggre,said,thank,1,1,0.439050901
aggress,purchas,govern,1,1,0.43767895
aggressor,expect,idf,1,1,0.3442272
ago,ad,titl,1,1,0.345360551
ago,don,know,1,1,0.28154825
ago,nfl,decid,1,1,0.282741251
ago,wast,much,1,1,0.28142895
agua,fresca,ain,1,1,0.28130965
ah,miss,place,1,1,0.2813693
ahead,lake,elev,1,1,0.284172853
aid,say,romano,1,1,0.313454401
aight,heat,nation,1,1,0.3126193
aim,creat,nuclear,1,1,0.313931601
aim,year,old,1,1,0.4376193
ain,amount,scof,1,1,0.3438693
ain,peopl,soft,1,1,0.3441079
ain,race,unlaw,1,1,0.438275451
ain,thang,worri,1,1,0.34404825
ain,till,fat,1,1,0.34380965
ain,time,go,1,1,0.43755965
ainment,a,s,1,1,0.312579533
ainment,caught,watch,1,1,0.875079533
ainment,now,can,1,1,0.34380965
ainti,batter,edward,1,1,0.34392895
air,televis,evid,1,1,0.43767895
air,tv,alreadi,1,1,0.43791755
airplan,around,one,1,1,0.4376193
airpo,minut,remain,1,1,0.2973522
airpo,shoddi,treatment,1,1,0.29693465
aka,sounda,former,1,1,0.29705395
al,della,fave,1,1,0.297948701
al,qaeda,attack,1,1,0.438156151
al,qaeda,intend,1,1,0.438991251
ala,award,huge,1,1,0.4376193
ala,idf,chief,1,1,0.4376193
alaimo,group,mount,1,1,0.439289502
alaska,pick,head,1,1,0.439766702
alb,o,pa,1,1,0.3438693
album,better,song,1,1,0.345539502
album,lend,consider,1,1,0.43767895
album,public,mel,1,1,0.28142895
album,see,journey,1,1,0.28130965
alchemi,offic,salli,1,1,0.28130965
alcotest,use,control,1,1,0.282741251
alex,gonzalez,foot,1,1,0.28142895
alfalfa,wtf,live,1,1,0.281846501
ali,good,meet,1,1,0.29705395
alien,don,hat,1,1,0.721255302
aliv,list,includ,1,1,0.296919738
aliv,work,seem,1,1,0.29693465
allerg,reaction,one,1,1,0.2971136
allow,daughter,go,1,1,0.299797853
allow,downward,depa,1,1,0.297948701
allow,focus,student,1,1,0.439647402
allow,peopl,select,1,1,0.43755965
allow,rest,minut,1,1,0.265679679
allow,six,run,1,1,0.265953075
almost,fast,regist,1,1,0.266554547
almost,much,anyway,1,1,0.266827943
almost,much,water,1,1,0.265679679
almost,youu,tonight,1,1,0.266062434
along,axi,extrem,1,1,0.265734358
along,interview,think,1,1,0.410186903
along,one,brother,1,1,0.265734358
along,way,like,1,1,0.268304282
alot,know,love,1,1,0.266007755
alp,côte,azur,1,1,0.440422853
alreadi,copyeditor,fright,1,1,0.260013979
alreadi,dead,let,1,1,0.258701677
alreadi,follow,guess,1,1,0.26156488
alreadi,got,lot,1,1,0.259357828
alreadi,gotten,place,1,1,0.260312229
alreadi,haha,tommorow,1,1,0.259536778
alreadi,italian,writer,1,1,0.258642027
alreadi,know,everi,1,1,0.260670129
alreadi,know,ok,1,1,0.260729779
alreadi,largest,peacekeep,1,1,0.260968379
alreadi,one,thing,1,1,0.258761327
alreadi,spend,next,1,1,0.260013979
alright,one,get,1,1,0.260550829
also,come,point,1,1,0.258761327
also,factor,brown,1,1,0.258582377
also,get,bad,1,1,0.26210173
also,give,asset,1,1,0.259596428
also,good,job,1,1,0.259357828
also,help,temper,1,1,0.258701677
also,increas,tangibl,1,1,0.259059578
also,know,human,1,1,0.258582377
also,love,target,1,1,0.260312229
also,make,frequent,1,1,0.4376193
also,mention,effect,1,1,0.29693465
also,need,help,1,1,0.2972329
also,new,retail,1,1,0.299797853
also,old,high,1,1,0.29705395
also,ponder,perman,1,1,0.43755965
also,said,child,1,1,0.43755965
also,see,ve,1,1,0.43755965
also,show,team,1,1,0.261506612
also,snap,teeth,1,1,0.261268012
also,someth,learn,1,1,0.261566262
also,tremend,creativ,1,1,0.261804862
also,work,famili,1,1,0.261327662
altern,argument,let,1,1,0.261089062
although,belov,cantab,1,1,0.261506612
although,mayb,urg,1,1,0.261089062
although,one,yesterday,1,1,0.263475064
although,went,long,1,1,0.262461013
altogeth,coverag,orlando,1,1,0.261327662
alva,edison,just,1,1,0.261924163
alvin,texa,happi,1,1,0.261148712
alway,better,craccc,1,1,0.261625912
alway,big,pa,1,1,0.262401363
alway,bit,dusti,1,1,0.261089062
alway,busi,don,1,1,0.261387312
alway,buy,biggest,1,1,0.438931601
alway,funnier,joke,1,1,0.28767895
alway,job,need,1,1,0.290542153
alway,labour,stronghold,1,1,0.28803685
alway,make,think,1,1,0.28791755
alway,now,get,1,1,0.2876193
alway,rememb,allow,1,1,0.4377386
alway,run,somewher,1,1,0.43767895
alway,safe,extra,1,1,0.438693001
alway,sound,like,1,1,0.297590801
alway,take,pa,1,1,0.29693465
alway,wake,feel,1,1,0.2973522
alway,wonder,guy,1,1,0.299559252
alyssa,now,busi,1,1,0.31267895
amaz,event,call,1,1,0.31255965
amaz,get,better,1,1,0.3129772
amaz,imag,store,1,1,0.43755965
amaz,power,visual,1,1,0.43755965
amaz,sunset,ever,1,1,0.31267895
amazon,websit,select,1,1,0.3128579
amboy,avenu,monday,1,1,0.3126193
